Sample,Time_us,Raw_u16,Voltage_V
1008,1008010,14531,0.731705
1009,1009014,14355,0.722843
1010,1010012,14083,0.709146
1011,1011008,13843,0.697061
1012,1012012,13715,0.690616
1013,1013009,13747,0.692227
1014,1014013,13939,0.701895
1015,1015009,14195,0.714786
1016,1016013,14467,0.728482
1017,1017009,14579,0.734122
1018,1018008,14531,0.731705
1019,1019013,14355,0.722843
1020,1020010,14083,0.709146
1021,1021013,13859,0.697867
1022,1022010,13715,0.690616
1023,1023014,13747,0.692227
1024,1024010,13923,0.701090
1025,1025014,14211,0.715592
1026,1026011,14451,0.727677
1027,1027008,14563,0.733317
1028,1028012,14563,0.733317
1029,1029008,14339,0.722037
1030,1030012,14083,0.709146
1031,1031009,13827,0.696255
1032,1032013,13731,0.691421
1033,1033012,13747,0.692227
1034,1034009,13923,0.701090
1035,1035013,14163,0.713175
1036,1036010,14435,0.726871
1037,1037014,14563,0.733317
1038,1038010,14531,0.731705
1039,1039014,14339,0.722037
1040,1040011,14067,0.708341
1041,1041015,13827,0.696255
1042,1042014,13715,0.690616
1043,1043010,13747,0.692227
1044,1044014,13923,0.701090
1045,1045011,14195,0.714786
1046,1046014,14435,0.726871
1047,1047011,14563,0.733317
1048,1048015,14531,0.731705
1049,1049011,14339,0.722037
1050,1050015,14083,0.709146
1051,1051012,13843,0.697061
1052,1052008,13699,0.689810
1053,1053012,13763,0.693033
1054,1054008,13923,0.701090
1055,1055012,14195,0.714786
1056,1056009,14435,0.726871
